Country,Year,Gas production,Oil production,Coal production,Natural resources production
Japan,1973,0.0,0.0,0.0,0.0
Japan,1974,0.0,0.0,0.0,0.0
Japan,1975,0.0,0.0,0.0,0.0
Japan,1976,0.0,0.0,0.0,0.0
Japan,1977,0.0,0.0,0.0,0.0
Japan,1978,0.0,0.0,0.0,0.0
Japan,1979,0.0,0.0,0.0,0.0
Japan,1980,2209000000.0,580700.0,18050000.0,2227630700.0
Japan,1981,2096000000.0,406500.0,17690000.0,2114096500.0
Japan,1982,2039000000.0,522600.0,17610000.0,2057132600.0
Japan,1983,2096000000.0,522600.0,17060000.0,2113582600.0
Japan,1984,2124000000.0,464600.0,16650000.0,2141114600.0
Japan,1985,2237000000.0,638800.0,16380000.0,2254018800.0
Japan,1986,2096000000.0,754900.0,16010000.0,2112764900.0
Japan,1987,2181000000.0,696800.0,13050000.0,2194746800.0
Japan,1988,2096000000.0,696800.0,11230000.0,2107926800.0
Japan,1989,2011000000.0,638800.0,10190000.0,2021828800.0
Japan,1990,2245000000.0,638800.0,7979000.0,2253617800.0
Japan,1991,2351000000.0,871000.0,7930000.0,2359801000.0
Japan,1992,2327000000.0,987200.0,7601000.0,2335588200.0
Japan,1993,2398000000.0,914000.0,7206000.0,2406120000.0
Japan,1994,2385000000.0,633700.0,6742000.0,2392375700.0
Japan,1995,2410000000.0,638800.0,6317000.0,2416955800.0
Japan,1996,2346000000.0,672900.0,6166000.0,2352838900.0
Japan,1997,2442000000.0,570500.0,3970000.0,2446540500.0
Japan,1998,2423000000.0,522600.0,3699000.0,2427221600.0
Japan,1999,2440000000.0,459800.0,3689000.0,2444148800.0
Japan,2000,2636000000.0,406500.0,2964000.0,2639370500.0
Japan,2001,2603000000.0,367800.0,2822000.0,2606189800.0
Japan,2002,2904000000.0,309600.0,1285000.0,2905594600.0
Japan,2003,2969000000.0,290400.0,1355000.0,2970645400.0
Japan,2004,3120000000.0,348400.0,1272000.0,3121620400.0
Japan,2005,3312000000.0,382100.0,1249000.0,3313631100.0
Japan,2006,3595000000.0,348400.0,1351000.0,3596699400.0
Japan,2007,3934000000.0,329000.0,1280000.0,3935609000.0
Japan,2008,3909000000.0,348400.0,1290000.0,3910638400.0
Japan,2009,3751000000.0,309400.0,1206000.0,3752515400.0
Japan,2010,3526000000.0,290000.0,1145000.0,3527435000.0
Japan,2011,3517000000.0,290400.0,1195000.0,3518485400.0
Japan,2012,3351000000.0,290400.0,1247000.0,3352537400.0
Japan,2013,3061000000.0,270900.0,1251000.0,3062521900.0
Japan,2014,2859000000.0,275900.0,1318000.0,2860593900.0
Japan,2015,2827000000.0,246600.0,1265000.0,2828511600.0
Japan,2016,2912000000.0,227500.0,1288000.0,2913515500.0
Japan,2017,3046000000.0,212700.0,1328000.0,3047540700.0
Japan,2018,2340000000.0,195700.0,963700.0,2341159400.0
Japan,2019,2157000000.0,239200.0,775100.0,2158014300.0
Japan,2020,1929000000.0,252300.0,789900.0,1930042200.0
Japan,2021,0.0,0.0,0.0,0.0
Philippines,1980,0.0,871000.0,329000.0,1200000.0
Philippines,1981,0.0,116100.0,331000.0,447100.0
Philippines,1982,0.0,464600.0,558000.0,1022600.0
Philippines,1983,0.0,754900.0,1020000.0,1774900.0
Philippines,1984,0.0,696800.0,1216000.0,1912800.0
Philippines,1985,0.0,522600.0,1262000.0,1784600.0
Philippines,1986,0.0,464600.0,1236000.0,1700600.0
Philippines,1987,0.0,348400.0,1208000.0,1556400.0
Philippines,1988,0.0,348400.0,1358000.0,1706400.0
Philippines,1989,0.0,290400.0,1360000.0,1650400.0
Philippines,1990,0.0,272900.0,1243000.0,1515900.0
Philippines,1991,0.0,174200.0,1326000.0,1500200.0
Philippines,1992,0.0,464600.0,1661000.0,2125600.0
Philippines,1993,0.0,528400.0,1582000.0,2110400.0
Philippines,1994,0.0,355000.0,1449000.0,1804000.0
Philippines,1995,9912000.0,195200.0,1329000.0,11436200.0
Philippines,1996,10000000.0,116100.0,1108000.0,11224100.0
Philippines,1997,10000000.0,58070.0,1076000.0,11134070.0
Philippines,1998,10000000.0,46460.0,1157000.0,11203460.0
Philippines,1999,10000000.0,52260.0,1177000.0,11229260.0
Philippines,2000,10000000.0,66430.0,1353000.0,11419430.0
Philippines,2001,200000000.0,491300.0,1230000.0,201721300.0
Philippines,2002,1900000000.0,572100.0,1665000.0,1902237100.0
Philippines,2003,2300000000.0,800300.0,2030000.0,2302830300.0
Philippines,2004,2200000000.0,1452000.0,2726000.0,2204178000.0
Philippines,2005,2100000000.0,1452000.0,3163000.0,2104615000.0
Philippines,2006,2200000000.0,1452000.0,2588000.0,2204040000.0
Philippines,2007,2900000000.0,1430000.0,3401000.0,2904831000.0
Philippines,2008,2940000000.0,1426000.0,3609000.0,2945035000.0
Philippines,2009,3150000000.0,2032000.0,4687000.0,3156719000.0
Philippines,2010,2860000000.0,1916000.0,6650000.0,2868566000.0
Philippines,2011,3150000000.0,1974000.0,6911000.0,3158885000.0
Philippines,2012,2750000000.0,1742000.0,7340000.0,2759082000.0
Philippines,2013,3510000000.0,2032000.0,7100000.0,3519132000.0
Philippines,2014,2700000000.0,2207000.0,7601000.0,2709808000.0
Philippines,2015,2600000000.0,1401000.0,7378000.0,2608779000.0
Philippines,2016,3106000000.0,1161000.0,11210000.0,3118371000.0
Philippines,2017,3066000000.0,174200.0,11930000.0,3078104200.0
Philippines,2018,3521000000.0,116100.0,13060000.0,3534176100.0
Philippines,2019,3633000000.0,58070.0,15270000.0,3648328070.0
Philippines,2020,0.0,57030.0,13750000.0,0.0
Philippines,2021,0.0,0.0,0.0,0.0
Russia,1992,640500000000.0,443200000.0,316400000.0,641259600000.0
Russia,1993,617800000000.0,390800000.0,286300000.0,618477100000.0
Russia,1994,607500000000.0,356300000.0,254600000.0,608110900000.0
Russia,1995,594900000000.0,348100000.0,245700000.0,595493800000.0
Russia,1996,562600000000.0,339700000.0,240300000.0,563180000000.0
Russia,1997,535300000000.0,343800000.0,229400000.0,535873200000.0
Russia,1998,553800000000.0,339900000.0,218700000.0,554358600000.0
Russia,1999,554900000000.0,353000000.0,235200000.0,555488200000.0
Russia,2000,547600000000.0,376200000.0,240300000.0,548216500000.0
Russia,2001,544400000000.0,401700000.0,248000000.0,545049700000.0
Russia,2002,557500000000.0,430200000.0,237600000.0,558167800000.0
Russia,2003,580800000000.0,472200000.0,257000000.0,581529200000.0
Russia,2004,594500000000.0,511300000.0,258900000.0,595270200000.0
Russia,2005,601100000000.0,525100000.0,282900000.0,601908000000.0
Russia,2006,615600000000.0,537000000.0,284600000.0,616421600000.0
Russia,2007,611600000000.0,548000000.0,289000000.0,612437000000.0
Russia,2008,609300000000.0,543300000.0,305000000.0,610148300000.0
Russia,2009,546700000000.0,551400000.0,276000000.0,547527400000.0
Russia,2010,607700000000.0,562900000.0,298700000.0,608561600000.0
Russia,2011,628900000000.0,567500000.0,295600000.0,629763100000.0
Russia,2012,615700000000.0,576100000.0,329400000.0,616605500000.0
Russia,2013,627000000000.0,583800000.0,350000000.0,627933800000.0
Russia,2014,608000000000.0,586900000.0,357200000.0,608944100000.0
Russia,2015,609800000000.0,595400000.0,371700000.0,610767100000.0
Russia,2016,616000000000.0,612700000.0,383800000.0,616996500000.0
Russia,2017,635900000000.0,615800000.0,407900000.0,636923700000.0
Russia,2018,667700000000.0,624700000.0,432700000.0,668757400000.0
Russia,2019,677900000000.0,629900000.0,437000000.0,678966900000.0
Russia,2020,637200000000.0,572900000.0,401400000.0,638174300000.0
Russia,2021,0.0,0.0,0.0,0.0
